filepath,label
data/train\angry\aug_0_100.jpeg,angry
data/train\angry\aug_0_1000.jpeg,angry
data/train\angry\aug_0_1012.jpeg,angry
data/train\angry\aug_0_1013.jpeg,angry
data/train\angry\aug_0_1015.jpeg,angry
data/train\angry\aug_0_1016.jpeg,angry
data/train\angry\aug_0_1023.jpeg,angry
data/train\angry\aug_0_1024.jpeg,angry
data/train\angry\aug_0_1029.jpeg,angry
data/train\angry\aug_0_1031.jpeg,angry
data/train\angry\aug_0_1032.jpeg,angry
data/train\angry\aug_0_1036.jpeg,angry
data/train\angry\aug_0_1039.jpeg,angry
data/train\angry\aug_0_1040.jpeg,angry
data/train\angry\aug_0_1043.jpeg,angry
data/train\angry\aug_0_1046.jpeg,angry
data/train\angry\aug_0_1048.jpeg,angry
data/train\angry\aug_0_105.jpeg,angry
data/train\angry\aug_0_1052.jpeg,angry
data/train\angry\aug_0_1053.jpeg,angry
data/train\angry\aug_0_1056.jpeg,angry
data/train\angry\aug_0_1058.jpeg,angry
data/train\angry\aug_0_1063.jpeg,angry
data/train\angry\aug_0_1064.jpeg,angry
data/train\angry\aug_0_1075.jpeg,angry
data/train\angry\aug_0_1076.jpeg,angry
data/train\angry\aug_0_1079.jpeg,angry
data/train\angry\aug_0_1082.jpeg,angry
data/train\angry\aug_0_1084.jpeg,angry
data/train\angry\aug_0_1088.jpeg,angry
data/train\angry\aug_0_109.jpeg,angry
data/train\angry\aug_0_1091.jpeg,angry
data/train\angry\aug_0_1097.jpeg,angry
data/train\angry\aug_0_1103.jpeg,angry
data/train\angry\aug_0_1110.jpeg,angry
data/train\angry\aug_0_1112.jpeg,angry
data/train\angry\aug_0_1117.jpeg,angry
data/train\angry\aug_0_1118.jpeg,angry
data/train\angry\aug_0_112.jpeg,angry
data/train\angry\aug_0_1121.jpeg,angry
data/train\angry\aug_0_1132.jpeg,angry
data/train\angry\aug_0_1135.jpeg,angry
data/train\angry\aug_0_1136.jpeg,angry
data/train\angry\aug_0_1137.jpeg,angry
data/train\angry\aug_0_114.jpeg,angry
data/train\angry\aug_0_1145.jpeg,angry
data/train\angry\aug_0_1146.jpeg,angry
data/train\angry\aug_0_1150.jpeg,angry
data/train\angry\aug_0_1151.jpeg,angry
data/train\angry\aug_0_1155.jpeg,angry
data/train\angry\aug_0_1158.jpeg,angry
data/train\angry\aug_0_1160.jpeg,angry
data/train\angry\aug_0_1162.jpeg,angry
data/train\angry\aug_0_1167.jpeg,angry
data/train\angry\aug_0_1168.jpeg,angry
data/train\angry\aug_0_1170.jpeg,angry
data/train\angry\aug_0_1171.jpeg,angry
data/train\angry\aug_0_1175.jpeg,angry
data/train\angry\aug_0_1176.jpeg,angry
data/train\angry\aug_0_1177.jpeg,angry
data/train\angry\aug_0_1181.jpeg,angry
data/train\angry\aug_0_1187.jpeg,angry
data/train\angry\aug_0_119.jpeg,angry
data/train\angry\aug_0_1190.jpeg,angry
data/train\angry\aug_0_1194.jpeg,angry
data/train\angry\aug_0_1196.jpeg,angry
data/train\angry\aug_0_1198.jpeg,angry
data/train\angry\aug_0_12.jpeg,angry
data/train\angry\aug_0_1205.jpeg,angry
data/train\angry\aug_0_1211.jpeg,angry
data/train\angry\aug_0_1214.jpeg,angry
data/train\angry\aug_0_1224.jpeg,angry
data/train\angry\aug_0_1225.jpeg,angry
data/train\angry\aug_0_1226.jpeg,angry
data/train\angry\aug_0_1229.jpeg,angry
data/train\angry\aug_0_1230.jpeg,angry
data/train\angry\aug_0_1232.jpeg,angry
data/train\angry\aug_0_1247.jpeg,angry
data/train\angry\aug_0_1249.jpeg,angry
data/train\angry\aug_0_1254.jpeg,angry
data/train\angry\aug_0_1256.jpeg,angry
data/train\angry\aug_0_1257.jpeg,angry
data/train\angry\aug_0_1259.jpeg,angry
data/train\angry\aug_0_1262.jpeg,angry
data/train\angry\aug_0_1269.jpeg,angry
data/train\angry\aug_0_1270.jpeg,angry
data/train\angry\aug_0_1271.jpeg,angry
data/train\angry\aug_0_1278.jpeg,angry
data/train\angry\aug_0_1286.jpeg,angry
data/train\angry\aug_0_1290.jpeg,angry
data/train\angry\aug_0_1291.jpeg,angry
data/train\angry\aug_0_1294.jpeg,angry
data/train\angry\aug_0_1299.jpeg,angry
data/train\angry\aug_0_1302.jpeg,angry
data/train\angry\aug_0_1308.jpeg,angry
data/train\angry\aug_0_1311.jpeg,angry
data/train\angry\aug_0_1313.jpeg,angry
data/train\angry\aug_0_1314.jpeg,angry
data/train\angry\aug_0_1317.jpeg,angry
data/train\angry\aug_0_1320.jpeg,angry
data/train\angry\aug_0_1322.jpeg,angry
data/train\angry\aug_0_1324.jpeg,angry
data/train\angry\aug_0_133.jpeg,angry
data/train\angry\aug_0_1330.jpeg,angry
data/train\angry\aug_0_1338.jpeg,angry
data/train\angry\aug_0_1346.jpeg,angry
data/train\angry\aug_0_1351.jpeg,angry
data/train\angry\aug_0_1359.jpeg,angry
data/train\angry\aug_0_1364.jpeg,angry
data/train\angry\aug_0_1365.jpeg,angry
data/train\angry\aug_0_1367.jpeg,angry
data/train\angry\aug_0_1369.jpeg,angry
data/train\angry\aug_0_1370.jpeg,angry
data/train\angry\aug_0_1371.jpeg,angry
data/train\angry\aug_0_1374.jpeg,angry
data/train\angry\aug_0_1378.jpeg,angry
data/train\angry\aug_0_1382.jpeg,angry
data/train\angry\aug_0_1384.jpeg,angry
data/train\angry\aug_0_1387.jpeg,angry
data/train\angry\aug_0_1392.jpeg,angry
data/train\angry\aug_0_1396.jpeg,angry
data/train\angry\aug_0_1402.jpeg,angry
data/train\angry\aug_0_1403.jpeg,angry
data/train\angry\aug_0_1404.jpeg,angry
data/train\angry\aug_0_1407.jpeg,angry
data/train\angry\aug_0_141.jpeg,angry
data/train\angry\aug_0_1411.jpeg,angry
data/train\angry\aug_0_1412.jpeg,angry
data/train\angry\aug_0_1414.jpeg,angry
data/train\angry\aug_0_1415.jpeg,angry
data/train\angry\aug_0_1416.jpeg,angry
data/train\angry\aug_0_1418.jpeg,angry
data/train\angry\aug_0_1419.jpeg,angry
data/train\angry\aug_0_1420.jpeg,angry
data/train\angry\aug_0_1427.jpeg,angry
data/train\angry\aug_0_1428.jpeg,angry
data/train\angry\aug_0_144.jpeg,angry
data/train\angry\aug_0_1440.jpeg,angry
data/train\angry\aug_0_1442.jpeg,angry
data/train\angry\aug_0_1443.jpeg,angry
data/train\angry\aug_0_1445.jpeg,angry
data/train\angry\aug_0_1451.jpeg,angry
data/train\angry\aug_0_1453.jpeg,angry
data/train\angry\aug_0_1456.jpeg,angry
data/train\angry\aug_0_1457.jpeg,angry
data/train\angry\aug_0_1464.jpeg,angry
data/train\angry\aug_0_1466.jpeg,angry
data/train\angry\aug_0_1468.jpeg,angry
data/train\angry\aug_0_1471.jpeg,angry
data/train\angry\aug_0_1475.jpeg,angry
data/train\angry\aug_0_1477.jpeg,angry
data/train\angry\aug_0_1478.jpeg,angry
data/train\angry\aug_0_1480.jpeg,angry
data/train\angry\aug_0_1484.jpeg,angry
data/train\angry\aug_0_1487.jpeg,angry
data/train\angry\aug_0_1488.jpeg,angry
data/train\angry\aug_0_1489.jpeg,angry
data/train\angry\aug_0_1492.jpeg,angry
data/train\angry\aug_0_1499.jpeg,angry
data/train\angry\aug_0_15.jpeg,angry
data/train\angry\aug_0_1500.jpeg,angry
data/train\angry\aug_0_1502.jpeg,angry
data/train\angry\aug_0_1507.jpeg,angry
data/train\angry\aug_0_1508.jpeg,angry
data/train\angry\aug_0_152.jpeg,angry
data/train\angry\aug_0_1526.jpeg,angry
data/train\angry\aug_0_1528.jpeg,angry
data/train\angry\aug_0_1535.jpeg,angry
data/train\angry\aug_0_1538.jpeg,angry
data/train\angry\aug_0_1540.jpeg,angry
data/train\angry\aug_0_1544.jpeg,angry
data/train\angry\aug_0_155.jpeg,angry
data/train\angry\aug_0_1552.jpeg,angry
data/train\angry\aug_0_156.jpeg,angry
data/train\angry\aug_0_1564.jpeg,angry
data/train\angry\aug_0_1566.jpeg,angry
data/train\angry\aug_0_157.jpeg,angry
data/train\angry\aug_0_1570.jpeg,angry
data/train\angry\aug_0_1578.jpeg,angry
data/train\angry\aug_0_1585.jpeg,angry
data/train\angry\aug_0_1588.jpeg,angry
data/train\angry\aug_0_1603.jpeg,angry
data/train\angry\aug_0_1605.jpeg,angry
data/train\angry\aug_0_1608.jpeg,angry
data/train\angry\aug_0_1612.jpeg,angry
data/train\angry\aug_0_1613.jpeg,angry
data/train\angry\aug_0_1616.jpeg,angry
data/train\angry\aug_0_1617.jpeg,angry
data/train\angry\aug_0_1621.jpeg,angry
data/train\angry\aug_0_163.jpeg,angry
data/train\angry\aug_0_1635.jpeg,angry
data/train\angry\aug_0_1637.jpeg,angry
data/train\angry\aug_0_1638.jpeg,angry
data/train\angry\aug_0_1640.jpeg,angry
data/train\angry\aug_0_165.jpeg,angry
data/train\angry\aug_0_1653.jpeg,angry
data/train\angry\aug_0_1663.jpeg,angry
data/train\angry\aug_0_1665.jpeg,angry
data/train\angry\aug_0_1668.jpeg,angry
data/train\angry\aug_0_1673.jpeg,angry
data/train\angry\aug_0_1675.jpeg,angry
data/train\angry\aug_0_1688.jpeg,angry
data/train\angry\aug_0_1698.jpeg,angry
data/train\angry\aug_0_170.jpeg,angry
data/train\angry\aug_0_1700.jpeg,angry
data/train\angry\aug_0_1703.jpeg,angry
data/train\angry\aug_0_1705.jpeg,angry
data/train\angry\aug_0_1706.jpeg,angry
data/train\angry\aug_0_1709.jpeg,angry
data/train\angry\aug_0_171.jpeg,angry
